Date,ESG,Value/Size/Mom,Value/Size/Mom/ESG,Value,Value/ESG,Size,Size/ESG,Momentum,Momentum/ESG,Value/Size,Value/Size/ESG,Value/Momentum,Value/Momentum/ESG,Size/Momentum,Size/Momentum/ESG
2020-07-22,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-23,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-24,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-27,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-28,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-29,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-30,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-07-31,-47.20000000000002,-1.86666666666666,-9.87500000000001,8.199999999999996,-19.749999999999993,-18.900000000000002,-28.750000000000007,-2.200000000000003,-22.250000000000007,-8.100000000000001,-14.833333333333332,2.9499999999999886,-14.599999999999994,-7.950000000000003,-14.700000000000003
2020-08-03,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-04,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-05,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-06,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-07,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-10,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-11,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-12,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-13,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-14,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-17,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-18,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-19,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-20,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
2020-08-21,-45.100000000000016,-5.100000000000005,-14.124999999999993,6.0,-19.40000000000001,-17.300000000000008,-25.650000000000016,-7.800000000000004,-22.199999999999992,-8.7,-15.500000000000004,1.5499999999999972,-16.4,-9.249999999999996,-22.566666666666677
